Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Japan,JPN,East Asia & Pacific,High income,2019,84.35634146,2.8,1081569.946,10.74372482,0,2.400000095,0,81.03379461,3298052.16,2030122.25,31250149.03
Switzerland,CHE,Europe & Central Asia,High income,2019,83.90487805,2.5,37380.00107,11.29148102,0,4.389999866,0,99.63862569,222902.14,84137.81,1937774.53
Spain,ESP,Europe & Central Asia,High income,2019,83.83170732,2.5,239979.9957,9.13213158,0,14.10000038,0,95.66549892,923644.79,494856.88,11233598.7
Singapore,SGP,East Asia & Pacific,High income,2019,83.59512195,0,47380.00107,4.08152914,2.736210108,3.099999905,0,100,91559.87,84309.18,871899.33
Italy,ITA,Europe & Central Asia,High income,2019,83.49756098,2.5,317239.9902,8.66856861,0,9.949999809,0,95.77703292,1216149.04,552868.23,16313740.19
Iceland,ISL,Europe & Central Asia,High income,2019,83.16341463,2.5,1639.999986,8.63868046,0,3.50999999,0,83.68803443,6755.56,3333.12,67186.17
Sweden,SWE,Europe & Central Asia,High income,2019,83.1097561,2.5,35000,10.86749268,0,6.829999924,0,94.91781768,241775.21,103748.7,2403126.02
Norway,NOR,Europe & Central Asia,High income,2019,82.95853659,2.5,35950.00076,10.52134705,0,3.690000057,0,65.038926,125234.37,59204.16,1182175.35
Australia,AUS,East Asia & Pacific,High income,2019,82.9,2.5,386529.9988,9.91078568,0,5.159999847,0,73.29258189,748180.59,217234.75,5323684.11
Malta,MLT,Middle East & North Africa,High income,2019,82.85853659,2.5,1659.999967,8.21444321,0,3.619999886,0,91.86797469,9202.64,5685.89,108042.18
